Year,Western Champion,Eastern Champion,Result,NBA Champion,NBA Vice-Champion,MVP Name,MVP Height (m),MVP Position,MVP Team,MVP status
2013,San Antonio Spurs,Miami Heat,3–4,Miami Heat,San Antonio Spurs,L. James,2.03,Forward,Miami Heat,Champion
2014,San Antonio Spurs,Miami Heat,4–1,San Antonio Spurs,Miami Heat,K. Durant,2.06,Forward,Oklahoma City Thunder,Not reached Final
2015,Golden State Warriors,Cleveland Cavaliers,4–2,Golden State Warriors,Cleveland Cavaliers,S. Curry,1.91,Guard,Golden State Warriors,Champion
2016,Golden State Warriors,Cleveland Cavaliers,3-4,Cleveland Cavaliers,Golden State Warriors,S. Curry,1.91,Guard,Golden State Warriors,Vice-Champion
2017,Golden State Warriors,Cleveland Cavaliers,4-1,Golden State Warriors,Cleveland Cavaliers,R. Westbrook,1.91,Guard,Oklahoma City Thunder,Not reached Final
2018,Golden State Warriors,Cleveland Cavaliers,4-0,Golden State Warriors,Cleveland Cavaliers,J. Harden,1.96,Guard,Houston Rockets,Not reached Final
2019,Golden State Warriors,Toronto Raptors,2–4,Toronto Raptors,Golden State Warriors,G.Antetokounmpo,2.11,Forward,Milwaukee Bucks,Not reached Final
2020,Los Angeles Lakers,Miami Heat,4-2,Los Angeles Lakers,Miami Heat,G.Antetokounmpo,2.11,Forward,Milwaukee Bucks,Not reached Final
2021,Phoenix Suns,Milwaukee Bucks,2–4,Milwaukee Bucks,Phoenix Suns,Nikola Jokic,2.11,Center,Denver Nuggets,Not reached Final
2022,Golden State Warriors,Boston Celtics,4-2,Golden State Warriors,Boston Celtics,Nikola Jokic,2.11,Center,Denver Nuggets,Not reached Final
2023,Denver Nuggets,Miami Heat,4-1,Denver Nuggets,Miami Heat,Joel Embiid,2.13,Center,Philadelphia 76ers,Not reached Final
