Franchise,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ,Status,Year,Western Champion,Eastern Champion,Result,NBA Champion,NBA Vice-Champion,MVP Name,MVP Height (m),MVP Position,MVP Team,MVP status,player_id,player,num_seasons,first_seas,last_seas,season,team,age
,,,,,,,,,,,,,1980.0,Los Angeles Lakers,Philadelphia 76ers,4–2,Los Angeles Lakers,Philadelphia 76ers,K. AJabbar,2.18,Center,Los Angeles Lakers,Champion,,,,,,,,
,,,,,,,,,,,,,1981.0,Houston Rockets,Boston Celtics,2–4,Boston Celtics,Houston Rockets,J. Erving,2.01,Forward,Philadelphia 76ers,Not reached Final,,,,,,,,
,,,,,,,,,,,,,1982.0,Los Angeles Lakers,Philadelphia 76ers,4–2,Los Angeles Lakers,Philadelphia 76ers,M. Malone,2.08,Center,Houston Rockets,Not reached Final,,,,,,,,
,,,,,,,,,,,,,1983.0,Los Angeles Lakers,Philadelphia 76ers,0–4,Philadelphia 76ers,Los Angeles Lakers,M. Malone,2.08,Center,Philadelphia 76ers,Champion,,,,,,,,
,,,,,,,,,,,,,1984.0,Los Angeles Lakers,Boston Celtics,3–4,Boston Celtics,Los Angeles Lakers,L. Bird,2.06,Forward,Boston Celtics,Champion,,,,,,,,
,,,,,,,,,,,,,1985.0,Los Angeles Lakers,Boston Celtics,4–2,Los Angeles Lakers,Boston Celtics,L. Bird,2.06,Forward,Boston Celtics,Vice-Champion,,,,,,,,
,,,,,,,,,,,,,1986.0,Houston Rockets,Boston Celtics,2–4,Boston Celtics,Houston Rockets,L. Bird,2.06,Forward,Boston Celtics,Champion,,,,,,,,
,,,,,,,,,,,,,1987.0,Los Angeles Lakers,Boston Celtics,4–2,Los Angeles Lakers,Boston Celtics,M. Johnson,2.06,Guard,Los Angeles Lakers,Champion,,,,,,,,
,,,,,,,,,,,,,1988.0,Los Angeles Lakers,Detroit Pistons,4–3,Los Angeles Lakers,Detroit Pistons,M. Jordan,1.98,Guard,Chicago Bulls,Not reached Final,,,,,,,,
,,,,,,,,,,,,,1989.0,Los Angeles Lakers,Detroit Pistons,0–4,Detroit Pistons,Los Angeles Lakers,M. Johnson,2.06,Guard,Los Angeles Lakers,Vice-Champion,,,,,,,,
,,,,,,,,,,,,,1990.0,Portland Trail Blazers,Detroit Pistons,1–4,Detroit Pistons,Portland Trail Blazers,M. Johnson,2.06,Guard,Los Angeles Lakers,Not reached Final,,,,,,,,
,,,,,,,,,,,,,1991.0,Los Angeles Lakers,Chicago Bulls,1–4,Chicago Bulls,Los Angeles Lakers,M. Jordan,1.98,Guard,Chicago Bulls,Champion,,,,,,,,
,,,,,,,,,,,,,1992.0,Portland Trail Blazers,Chicago Bulls,2–4,Chicago Bulls,Portland Trail Blazers,M. Jordan,1.98,Guard,Chicago Bulls,Champion,,,,,,,,
,,,,,,,,,,,,,1993.0,Phoenix Suns,Chicago Bulls,2–4,Chicago Bulls,Phoenix Suns,C. Barkley,1.98,Forward,Phoenix Suns,Vice-Champion,,,,,,,,
